matchlinkId;teamAId;teamBId;date;difScore;map
2297294;5991;4494;2015-08-05 16:45:00;3;Inferno
2297298;5974;5996;2015-08-06 10:45:00;-4;Train
2297305;6137;6211;2015-08-06 12:30:00;-6;Cache
2297306;5991;5974;2015-08-06 13:45:00;3;Inferno
2297307;6211;6137;2015-08-06 15:15:00;2;Mirage
2297308;4494;5996;2015-08-06 16:45:00;-8;Dust2
2297309;6137;6211;2015-08-06 18:15:00;1;Cobblestone
2297313;5974;5996;2015-08-07 10:40:00;-9;Inferno
2297319;4494;5991;2015-08-07 11:45:00;-8;Dust2
2297320;6137;5996;2015-08-07 13:15:00;-1;Cobblestone
2297324;5991;4494;2015-08-07 14:45:00;-5;Train
2297325;6137;5996;2015-08-07 16:00:00;-10;Overpass
2297326;4494;5991;2015-08-07 17:15:00;-1;Cache
2297327;6211;5996;2015-08-08 10:30:00;-12;Dust2
2297342;5991;5996;2015-08-08 11:30:00;13;Cache
2297342;5991;5996;2015-08-08 11:30:00;7;Cobblestone
2297342;5991;5996;2015-08-08 11:30:00;4;Inferno
2297352;4494;5195;2015-08-09 12:45:00;-5;Cache
2297352;4494;5195;2015-08-09 12:45:00;11;Dust2
2297352;4494;5195;2015-08-09 12:45:00;1;Cobblestone
2297353;5395;4494;2015-08-09 15:45:00;-12;Cache
2297353;5395;4494;2015-08-09 15:45:00;-12;Overpass
2297432;4411;5974;2015-08-20 14:00:00;3;Dust2
2297433;5991;5988;2015-08-20 14:00:00;13;Inferno
2297435;6134;6290;2015-08-20 15:25:00;-10;Overpass
2297434;6211;5996;2015-08-20 15:40:00;-5;Train
2297492;5991;6290;2015-08-20 16:30:00;1;Cobblestone
2297491;4411;5996;2015-08-20 17:00:00;-13;Cache
2297436;4991;6245;2015-08-20 18:15:00;14;Mirage
2297437;5378;4791;2015-08-20 18:15:00;8;Cobblestone
2297438;5284;4608;2015-08-20 19:30:00;-1;Overpass
2297439;5752;4494;2015-08-20 19:30:00;6;Overpass
2297494;5378;5752;2015-08-20 21:05:00;8;Cobblestone
2297493;4991;4608;2015-08-20 22:15:00;14;Inferno
2297502;6134;4791;2015-08-21 12:00:00;3;Dust2
2297503;5752;6134;2015-08-21 13:45:00;-3;Dust2
2297504;5974;6245;2015-08-21 15:00:00;2;Mirage
2297505;4608;5974;2015-08-21 16:50:00;2;Cobblestone
2297498;6211;5284;2015-08-21 18:25:00;7;Mirage
2297500;4411;6211;2015-08-21 19:30:00;11;Inferno
2297501;5988;4494;2015-08-21 20:40:00;2;Cobblestone
2297499;6290;5988;2015-08-21 22:05:00;1;Cobblestone
2297508;5991;4608;2015-08-22 11:30:00;3;Inferno
2297508;5991;4608;2015-08-22 11:30:00;6;Mirage
2297509;5996;6134;2015-08-22 14:35:00;10;Dust2
2297509;5996;6134;2015-08-22 14:35:00;8;Overpass
2297510;5378;4411;2015-08-22 18:00:00;2;Train
2297510;5378;4411;2015-08-22 18:00:00;11;Inferno
2297511;4991;6290;2015-08-22 21:00:00;11;Train
2297511;4991;6290;2015-08-22 21:00:00;2;Mirage
2297512;5991;5996;2015-08-23 11:45:00;4;Cache
2297512;5991;5996;2015-08-23 11:45:00;-8;Dust2
2297512;5991;5996;2015-08-23 11:45:00;7;Inferno
2297513;5378;4991;2015-08-23 15:30:00;10;Mirage
2297513;5378;4991;2015-08-23 15:30:00;-2;Inferno
2297513;5378;4991;2015-08-23 15:30:00;-9;Cobblestone
2297514;5991;4991;2015-08-23 19:00:00;-1;Dust2
2297514;5991;4991;2015-08-23 19:00:00;-9;Cobblestone
2297568;5974;6292;2015-08-28 04:15:00;-2;Cobblestone
2297568;5974;6292;2015-08-28 04:15:00;3;Mirage
2297616;4554;6225;2015-08-30 16:15:00;-1;Overpass
2297616;4554;6225;2015-08-30 16:15:00;7;Dust2
2297616;4554;6225;2015-08-30 16:15:00;-2;Cache
2297600;4573;6226;2015-08-30 20:20:00;7;Cache
2297600;4573;6226;2015-08-30 20:20:00;-7;Mirage
2297600;4573;6226;2015-08-30 20:20:00;-4;Dust2
2297619;6322;6323;2015-08-30 20:25:00;-13;Cobblestone
2297620;5599;6094;2015-08-30 20:30:00;-10;Mirage
2297610;5284;5422;2015-08-30 21:00:00;-7;Train
2297610;5284;5422;2015-08-30 21:00:00;8;Mirage
2297610;5284;5422;2015-08-30 21:00:00;-4;Cobblestone
