eventId;firPlace;eventType;eventTitleFemale0;teamQnt;prizeUSD;maxPrizeUSD;endDate
2806;2854;Online;False;4;1395;5707;2017-04-17
2946;50000;Online;False;8;0;100000;2017-06-25
3303;100000;Local LAN;True;2;400;170000;2017-10-21
3310;20000;Online;False;8;0;40000;2017-10-29
2959;900;Local LAN;False;8;1500;1500;2017-06-25
3424;800000;Online;False;4;0;1500000;2017-12-13
3005;1200;Online;False;8;0;1500;2017-07-25
2684;100000;Intl. LAN;False;16;250000;250000;2017-09-03
2784;2854;Online;False;4;1395;5707;2017-04-10
3278;11950;Online;False;4;0;20322;2017-10-21
3364;1500;Online;False;2;1500;1500;2017-11-17
3338;3040;Local LAN;False;2;4860;4860;2017-11-05
3508;3062;Reg. LAN;False;4;6125;6125;2018-01-28
2721;500000;Intl. LAN;False;16;0;1000000;2017-07-02
2732;12000;Online;False;16;20000;20000;2017-04-03
3045;18000;Online;False;8;2475;50000;2017-08-17
3147;250000;Online;False;8;0;490000;2017-09-10
3406;800000;Online;False;4;0;1500000;2017-12-08
3646;11480;Local LAN;False;4;21525;21525;2018-03-29
3329;20000;Online;False;4;0;37500;2017-11-12
2720;500000;Major;False;16;1000000;1000000;2017-07-23
2975;3000;Local LAN;False;6;6500;6500;2017-07-08
2985;117500;Online;False;4;0;235000;2017-07-11
3354;0;Online;False;22;2334;2334;2017-12-11
3585;6000;Online;False;16;10000;10000;2018-06-04
3186;8988;Local LAN;False;2;0;17978;2017-09-16
2963;9612;Online;False;4;1125;15300;2017-06-27
2719;1000;Online;False;8;1500;1500;2017-03-17
3144;250000;Online;False;16;0;490000;2017-09-03
2779;18000;Online;False;8;4000;50000;2017-04-18
2799;1591;Online;False;4;4243;4243;2017-04-16
1999;0;Other;False;4;0;0;2015-11-08
2553;13700;Online;False;8;37800;37800;2017-04-19
3405;1000;Online;False;8;0;3000;2017-12-10
3100;4290;Online;False;4;0;8992;2017-08-17
2971;40000;Online;False;8;0;100000;2017-08-06
3240;117500;Reg. LAN;False;8;0;235000;2017-10-29
2600;1000;Online;False;8;1500;1500;2016-11-25
3132;117500;Local LAN;False;2;0;235000;2017-09-09
3349;2500;Reg. LAN;False;4;5000;5000;2017-11-26
3166;9844;Intl. LAN;False;4;24300;24300;2017-11-18
3142;39477;Online;False;4;0;63162;2017-09-02
3505;1000;Online;False;4;2200;2200;2018-01-21
3490;7595;Online;False;4;12151;12151;2018-01-07
2918;12330;Reg. LAN;False;2;20960;20960;2017-08-05
2913;12330;Online;False;4;0;20960;2017-06-11
3659;4762;Online;False;4;7148;7148;2018-04-07
3432;1370;Local LAN;False;4;3200;3200;2017-12-17
3549;50000;Online;False;4;0;100000;2018-02-11
2717;2500;Online;False;8;0;0;2017-03-11
3077;40000;Local LAN;False;8;0;100000;2017-09-10
2683;125000;Intl. LAN;False;16;300000;300000;2017-04-09
3443;250000;Online;False;16;0;500000;2018-02-01
3148;250000;Online;False;8;0;490000;2017-09-03
2836;20000;Reg. LAN;False;38;35000;35000;2017-07-30
3602;250000;Online;False;10;45000;660000;2018-05-12
3356;6000;Online;False;12;10000;10000;2018-01-18
