teamId;date;rating;position
6667;2018-04-09 00:00:00;877;1
4494;2018-04-09 00:00:00;810;2
4991;2018-04-09 00:00:00;782;3
6665;2018-04-09 00:00:00;651;4
4608;2018-04-09 00:00:00;615;5
5973;2018-04-09 00:00:00;601;6
6137;2018-04-09 00:00:00;592;7
5752;2018-04-09 00:00:00;527;8
5995;2018-04-09 00:00:00;378;9
4411;2018-04-09 00:00:00;371;10
7533;2018-04-09 00:00:00;279;11
5378;2018-04-09 00:00:00;257;12
5929;2018-04-09 00:00:00;257;13
5310;2018-04-09 00:00:00;253;14
6211;2018-04-09 00:00:00;244;15
7175;2018-04-09 00:00:00;208;16
6651;2018-04-09 00:00:00;185;17
6673;2018-04-09 00:00:00;145;18
7701;2018-04-09 00:00:00;132;19
7367;2018-04-09 00:00:00;129;20
8068;2018-04-09 00:00:00;122;21
6902;2018-04-09 00:00:00;116;22
6855;2018-04-09 00:00:00;105;23
4863;2018-04-09 00:00:00;102;24
8513;2018-04-09 00:00:00;96;25
6094;2018-04-09 00:00:00;91;26
7354;2018-04-09 00:00:00;87;27
7020;2018-04-09 00:00:00;85;28
6947;2018-04-09 00:00:00;81;29
7532;2018-04-09 00:00:00;80;30
6615;2018-04-09 00:00:00;46;37
4602;2018-04-09 00:00:00;20;58
8971;2018-04-09 00:00:00;18;70
7669;2018-04-09 00:00:00;15;85
8706;2018-04-09 00:00:00;14;88
7749;2018-04-09 00:00:00;13;92
8968;2018-04-09 00:00:00;13;94
8465;2018-04-09 00:00:00;8;132
8963;2018-04-09 00:00:00;7;144
8965;2018-04-09 00:00:00;5;171
8703;2018-04-09 00:00:00;4;184
8711;2018-04-09 00:00:00;4;185
8704;2018-04-09 00:00:00;3;206
8919;2018-04-09 00:00:00;3;216
8947;2018-04-09 00:00:00;3;217
8881;2018-04-09 00:00:00;2;246
8932;2018-04-09 00:00:00;2;251
8952;2018-04-09 00:00:00;2;252
8914;2018-04-09 00:00:00;1;285
8916;2018-04-09 00:00:00;1;286
7865;2018-04-09 00:00:00;19;63
8504;2018-04-09 00:00:00;15;86
7331;2018-04-09 00:00:00;11;101
8485;2018-04-09 00:00:00;6;151
8517;2018-04-09 00:00:00;3;201
5991;2018-04-09 00:00:00;57;33
7856;2018-04-09 00:00:00;21;57
8910;2018-04-09 00:00:00;16;78
7242;2018-04-09 00:00:00;9;112
5639;2018-04-09 00:00:00;7;137
8637;2018-04-09 00:00:00;53;34
4501;2018-04-09 00:00:00;27;50
6343;2018-04-09 00:00:00;22;55
7425;2018-04-09 00:00:00;15;82
5121;2018-04-09 00:00:00;10;105
5009;2018-04-09 00:00:00;1;255
8850;2018-04-09 00:00:00;1;278
6134;2018-04-09 00:00:00;40;40
8846;2018-04-09 00:00:00;20;61
6896;2018-04-09 00:00:00;17;71
7946;2018-04-09 00:00:00;13;93
8248;2018-04-09 00:00:00;8;131
8209;2018-04-09 00:00:00;7;140
7681;2018-04-09 00:00:00;6;149
8572;2018-04-09 00:00:00;5;167
7000;2018-04-09 00:00:00;4;174
8813;2018-04-09 00:00:00;4;187
8298;2018-04-09 00:00:00;1;267
7613;2018-04-09 00:00:00;34;46
6978;2018-04-09 00:00:00;33;47
7058;2018-04-09 00:00:00;18;65
8721;2018-04-09 00:00:00;17;73
5319;2018-04-09 00:00:00;16;74
8997;2018-04-09 00:00:00;13;95
8951;2018-04-09 00:00:00;9;122
6220;2018-04-09 00:00:00;5;160
8949;2018-04-09 00:00:00;3;218
8954;2018-04-09 00:00:00;3;219
6241;2018-04-09 00:00:00;2;223
7653;2018-04-09 00:00:00;15;83
6000;2018-04-09 00:00:00;5;159
