matchLinkId;teamAId;teamBId;kefs
2321961;7517;8668;[[2.4, 1.55], [2.61, 1.46], [2.6, 1.51], [2.63, 1.47], [2.61, 1.46], [2.69, 1.37], [2.43, 1.49], [2.66, 1.37], [2.89, 1.36], [2.4, 1.5], [2.5, 1.5]]
2322027;6134;8721;[[1.47, 2.6], [1.32, 3.15], [1.37, 3.11], [1.33, 3.18], [1.32, 3.15], [1.39, 2.78], [1.33, 2.85], [1.3, 2.94], [1.25, 3.55], [1.35, 2.95], [1.4, 2.75]]
2322105;7187;6375;[[1.55, 2.4], [1.6, 2.2], [1.61, 2.22], [1.58, 2.18], [1.71, 1.82], [1.52, 2.25], [2.06, 1.66], [1.55, 2.29], [1.5, 2.4], [2.0, 1.72]]
2321925;7367;8721;[[1.77, 2.0], [1.75, 2.01], [1.92, 1.89], [1.76, 2.03], [1.71, 2.05], [1.95, 1.71], [1.65, 2.0], [2.0, 1.72], [1.94, 1.78], [1.85, 1.85], [1.83, 1.83]]
2321977;6652;7701;[[3.0, 1.37], [3.33, 1.29], [3.7, 1.28], [3.36, 1.3], [3.31, 1.29], [3.54, 1.26], [3.7, 1.2], [3.48, 1.2], [3.82, 1.22], [3.6, 1.25], [4.0, 1.22]]
2322116;9029;8846;[[4.0, 1.23], [3.92, 1.22], [4.76, 1.19], [3.94, 1.23], [3.87, 1.2], [3.48, 1.21], [3.7, 1.2], [3.51, 1.2], [4.03, 1.2], [3.8, 1.22], [4.0, 1.22]]
2322093;8305;7969;[[4.21, 1.19], [4.31, 1.22], [4.25, 1.21], [4.19, 1.19], [3.4, 1.22], [3.7, 1.2], [3.46, 1.2], [4.03, 1.2], [4.0, 1.2], [4.33, 1.2]]
2322117;8513;8637;[[1.37, 2.95], [1.44, 2.81], [1.38, 2.97], [1.37, 2.95], [1.33, 3.22], [1.3, 2.94], [1.44, 2.62], [1.4, 2.75], [1.36, 3.0]]
2322107;6762;6343;[[2.61, 1.44], [2.83, 1.44], [2.63, 1.45], [2.58, 1.42], [2.56, 1.4], [2.89, 1.31], [3.33, 1.28], [2.55, 1.45], [2.62, 1.44]]
2322136;6978;7613;[[1.85, 1.91], [1.72, 2.05], [1.78, 2.05], [1.73, 2.07], [1.72, 2.05], [1.81, 2.03], [1.75, 1.95], [1.44, 2.62], [1.75, 1.95], [1.72, 2.0]]
2322029;7187;5121;[[1.52, 2.39], [1.59, 2.38], [1.54, 2.41], [1.52, 2.38], [1.46, 2.39], [1.42, 2.51], [1.4, 2.72], [1.5, 2.4], [1.5, 2.5]]
2322118;8068;6745;[[1.47, 2.6], [1.27, 3.52], [1.41, 2.95], [1.28, 3.55], [1.27, 3.52], [1.23, 3.36], [1.22, 3.39], [1.24, 3.65], [1.3, 3.2], [1.36, 3.0]]
2321969;8297;8051;[[1.14, 4.9], [1.15, 4.75], [1.01, 15.0]]
2322120;6902;6134;[[1.55, 2.4], [1.33, 3.16], [1.47, 2.72], [1.34, 3.18], [1.33, 3.16], [1.47, 2.75], [1.3, 2.95], [1.28, 3.38], [1.4, 2.75], [1.4, 2.75]]
2322138;6947;7106;[[2.85, 1.41], [3.52, 1.27], [2.96, 1.4], [3.55, 1.28], [3.52, 1.27], [3.24, 1.24], [3.59, 1.25], [2.95, 1.35]]
2321970;8051;8297;[[14.3, 1.0], [4.75, 1.15], [15.0, 1.01]]
2321971;8728;8895;[[1.16, 4.77], [1.07, 7.33], [1.17, 4.82], [1.15, 4.75], [1.07, 6.82], [1.12, 5.25], [1.0, 17.0]]
2321992;8253;8815;[[2.23, 1.58], [2.37, 1.59], [2.25, 1.59], [2.23, 1.58], [2.38, 1.58], [1.95, 1.7], [2.56, 1.41], [2.55, 1.45], [2.3, 1.55], [2.25, 1.57]]
2321972;8895;8728;[[4.77, 1.16], [7.33, 1.07], [4.82, 1.17], [4.75, 1.15], [2.73, 1.41], [5.25, 1.12], [17.0, 1.0]]
2321962;6010;8008;[[2.86, 1.37], [3.02, 1.39], [2.88, 1.39], [2.86, 1.37], [2.92, 1.35], [2.98, 1.29], [2.98, 1.34], [2.95, 1.35], [2.75, 1.4]]
2321963;6468;8668;[[3.9, 1.23], [7.21, 1.07], [7.0, 1.1], [7.28, 1.08], [7.21, 1.07], [6.95, 1.07], [5.37, 1.05], [6.82, 1.07], [5.75, 1.08], [8.0, 1.06]]
2322114;8068;4501;[[1.59, 2.3], [1.38, 2.85], [1.46, 2.72], [1.4, 2.87], [1.38, 2.85], [1.45, 2.43], [1.38, 2.65], [1.38, 2.64], [1.28, 3.33], [1.4, 2.75], [1.4, 2.75]]
2322143;8473;8462;[[1.18, 4.6], [1.14, 5.04], [1.18, 4.93], [1.15, 5.07], [1.12, 4.97], [1.1, 4.58], [1.1, 5.91], [1.1, 4.5], [1.1, 5.81], [1.15, 4.75], [1.16, 4.5]]
2322146;6902;6896;[[1.09, 6.57], [1.13, 5.93], [1.1, 6.63], [1.09, 6.57], [1.06, 5.3], [1.08, 5.65], [1.06, 5.22], [1.06, 7.26], [1.08, 6.5], [1.12, 5.5]]
2322142;7489;8513;[[4.23, 1.19], [5.26, 1.16], [4.27, 1.2], [4.21, 1.19], [4.12, 1.14], [3.7, 1.2], [4.1, 1.13], [5.31, 1.12], [4.75, 1.15], [4.5, 1.16]]
2322147;7613;6134;[[1.94, 1.82], [1.97, 1.84], [2.14, 1.66], [2.0, 1.71], [2.33, 1.53], [1.85, 1.8], [2.0, 1.72]]
2322121;8209;7367;[[4.6, 2.0], [2.4, 1.58], [3.75, 1.25]]
2322109;4674;6343;[[1.85, 1.91], [1.68, 2.06], [1.82, 2.0], [1.7, 2.08], [1.67, 2.04], [1.7, 1.95], [1.65, 2.08], [1.6, 2.19], [1.85, 1.85]]
2322111;8481;7865;[[1.47, 2.6], [1.33, 3.14], [1.33, 3.32], [1.34, 3.17], [1.33, 3.14], [1.28, 3.64], [1.29, 3.05], [1.23, 3.29], [1.28, 3.33], [1.3, 3.2], [1.36, 3.0]]
2322122;4602;5009;[[1.5, 2.75], [1.26, 3.93], [1.06, 8.0]]
2322144;8721;8772;[[1.19, 4.76], [1.22, 3.32], [1.24, 3.35], [1.16, 3.85], [1.13, 5.09], [1.18, 4.25], [1.25, 3.75]]
