matchlinkId;map;teamAId;teamBId
2297568;Cobblestone;5974;6292
2297568;Mirage;5974;6292
2297619;Cobblestone;6322;6323
2297620;Mirage;5599;6094
2297610;Train;5284;5422
2297610;Mirage;5284;5422
2297610;Cobblestone;5284;5422
2297623;Cache;4894;5949
2297624;Cache;6324;6264
2297625;Cobblestone;6323;5949
2297626;Cache;6094;6264
2297613;Overpass;6321;6191
2297613;Inferno;6321;6191
2297632;Mirage;6312;6313
2297633;Dust2;6312;6315
2297634;Cache;6315;6313
2297635;Dust2;5143;5112
2297635;Mirage;5143;5112
2297636;Inferno;5144;5076
2297636;Cobblestone;5144;5076
2297611;Mirage;6220;6237
2297611;Dust2;6220;6237
2297641;Inferno;4532;5595
2297641;Mirage;4532;5595
2297641;Cache;4532;5595
2297621;Inferno;5319;5208
2297621;Overpass;5319;5208
2297639;Cobblestone;4494;5284
2297639;Train;4494;5284
2297639;Overpass;4494;5284
2297628;Overpass;6260;6225
2297637;Inferno;6325;6138
2297638;Inferno;5208;5610
2297642;Cache;5599;6124
2297642;Mirage;5599;6124
2297629;Overpass;4554;6298
2297640;Cache;4991;5422
2297640;Cobblestone;4991;5422
2297622;Mirage;5579;6137
2297622;Overpass;5579;6137
2297648;Cache;6138;5610
2297649;Cobblestone;6325;5208
2297627;Dust2;6094;6213
2297627;Mirage;6094;6213
2297630;Cache;4445;5617
2297643;Overpass;5310;5284
2297643;Dust2;5310;5284
2297631;Inferno;6297;6114
2297644;Cobblestone;6290;6261
2297644;Mirage;6290;6261
2297645;Dust2;5974;5005
2297645;Cache;5974;5005
2297652;Dust2;6311;6316
2297653;Mirage;6311;6314
2297661;Overpass;6316;6314
2297654;Mirage;5105;5079
2297654;Cache;5105;5079
2297667;Mirage;5107;5114
2297667;Dust2;5107;5114
2297655;Inferno;4532;6124
2297660;Mirage;5422;4494
2297660;Train;5422;4494
2297660;Dust2;5422;4494
2297660;Overpass;5422;4494
2297662;Train;6245;6134
2297662;Dust2;6245;6134
2297663;Overpass;6137;5524
2297663;Cobblestone;6137;5524
2297664;Overpass;5310;5208
2297664;Cobblestone;5310;5208
2297664;Dust2;5310;5208
2297669;Dust2;6237;6246
2297669;Cobblestone;6237;6246
2297656;Cache;5595;5599
2297656;Mirage;5595;5599
2297656;Train;5595;5599
2297650;Cache;5524;6201
2297651;Mirage;4532;6220
2297671;Cobblestone;5319;6138
2297671;Cache;5319;6138
2297658;Mirage;5355;6154
2297658;Cache;5355;6154
2297665;Overpass;6226;5949
2297665;Mirage;6226;5949
2297666;Cache;6134;6094
2297666;Dust2;6134;6094
2297668;Cache;6167;6317
2297668;Train;6167;6317
2297674;Cache;6124;5599
2297675;Cobblestone;6220;5524
2297676;Mirage;4532;6201
2297670;Train;6137;5319
2297670;Mirage;6137;5319
2297679;Mirage;5595;5599
2297679;Cache;5595;5599
2297673;Cache;6321;5974
2297673;Mirage;6321;5974
2297672;Cache;5973;6292
2297672;Mirage;5973;6292
2297677;Inferno;6307;6313
2297677;Cache;6307;6313
2297678;Cache;6303;6311
2297678;Inferno;6303;6311
2297683;Cache;4991;4494
2297683;Train;4991;4494
2297683;Dust2;4991;4494
2297687;Dust2;6167;5949
2297687;Mirage;6167;5949
2297689;Inferno;6137;5310
2297689;Train;6137;5310
2297689;Cobblestone;6137;5310
2297691;Inferno;5595;5929
2297691;Mirage;5595;5929
2297696;Dust2;4608;5996
2297696;Overpass;4608;5996
2297684;Dust2;5093;5009
2297684;Mirage;5093;5009
2297682;Overpass;5422;5319
2297682;Train;5422;5319
2297681;Mirage;4532;6220
2297690;Train;6226;6134
2297690;Mirage;6226;6134
2297690;Cache;6226;6134
2297693;Overpass;6245;6328
2297693;Mirage;6245;6328
2297697;Inferno;5378;5991
2297697;Train;5378;5991
2297685;Cache;5395;6030
2297685;Inferno;5395;6030
2297692;Mirage;5009;6295
2297692;Inferno;5009;6295
2297688;Cobblestone;6246;6220
2297688;Mirage;6246;6220
2297688;Cache;6246;6220
2297686;Train;5284;5422
2297686;Cobblestone;5284;5422
2297680;Cobblestone;5610;5208
2297701;Mirage;5929;5009
2297695;Dust2;6191;5005
2297695;Cache;6191;5005
2297694;Cache;6290;6301
2297694;Inferno;6290;6301
2297699;Mirage;6307;6311
2297699;Dust2;6307;6311
2297702;Overpass;4608;5422
2297707;Mirage;5595;6295
2297707;Cache;5595;6295
2297709;Mirage;6167;6246
2297709;Cobblestone;6167;6246
2297703;Overpass;5996;4494
2297706;Mirage;5599;6326
2297706;Cache;5599;6326
2297714;Train;5284;6138
2297714;Dust2;5284;6138
2297704;Mirage;6134;5422
2297708;Mirage;5929;6295
2297710;Cache;6220;5949
2297710;Mirage;6220;5949
2297711;Cache;5988;6134
2297711;Mirage;5988;6134
2297711;Train;5988;6134
2297713;Dust2;4608;5996
2297715;Dust2;5595;5929
2297715;Overpass;5595;5929
2297715;Inferno;5595;5929
2297712;Overpass;4608;5310
2297712;Dust2;4608;5310
2297705;Dust2;5284;4494
2297718;Mirage;6329;6000
2297718;Cache;6329;6000
2297722;Cache;6331;6330
2297722;Mirage;6331;6330
2297716;Cache;6167;6220
2297716;Mirage;6167;6220
2297719;Train;4494;6134
2297723;Cache;6331;6332
2297723;Dust2;6331;6332
2297733;Cache;5108;5136
2297720;Inferno;4608;6134
2297724;Inferno;6330;6332
2297724;Cobblestone;6330;6332
2297734;Mirage;5133;5136
2297721;Train;5996;6134
2297721;Dust2;5996;6134
2297721;Mirage;5996;6134
2297717;Mirage;5949;6246
2297717;Cobblestone;5949;6246
2297736;Dust2;5139;5136
2297725;Mirage;5974;6336
2297726;Cobblestone;6333;6117
2297738;Dust2;5974;6117
2297739;Overpass;6336;6333
2297740;Mirage;6117;6333
2297727;Dust2;6261;6242
2297728;Inferno;6191;6291
2297743;Cobblestone;6291;6242
2297744;Dust2;6191;6261
2297745;Cache;6191;6291
2297747;Overpass;4863;6337
2297737;Cache;6246;6167
2297737;Mirage;6246;6167
2297748;Inferno;6340;6339
2297749;Mirage;5258;5531
2297750;Cache;6338;6341
2297729;Cache;6132;6331
2297730;Inferno;5907;6239
2297735;Cobblestone;4991;5996
2297735;Dust2;4991;5996
2297735;Train;4991;5996
2297735;Mirage;4991;5996
2297735;Inferno;4991;5996
2297756;Cache;6132;6239
2297757;Dust2;6331;5907
2297760;Overpass;6239;5907
2297763;Inferno;6138;5435
2297762;Cache;4573;6287
2297764;Inferno;4591;6073
2297765;Cache;6124;6343
2297766;Dust2;6344;6345
2297731;Dust2;6290;6332
2297732;Cobblestone;6334;6335
2297767;Mirage;6346;6222
2297768;Cache;6324;5451
2297769;Cache;4759;5569
2297771;Inferno;6335;6332
2297772;Mirage;6334;6290
2297781;Dust2;6335;6334
2297741;Cache;5974;6191
2297741;Mirage;5974;6191
2297761;Cache;6132;6334
2297761;Mirage;6132;6334
2297742;Cobblestone;6117;6261
2297742;Dust2;6117;6261
2297770;Overpass;6239;6290
2297770;Cache;6239;6290
2297759;Cobblestone;4784;5290
2297759;Cache;4784;5290
2297759;Dust2;4784;5290
2297786;Cache;6290;6261
2297786;Cobblestone;6290;6261
2297787;Dust2;5974;6334
2297787;Train;5974;6334
2297752;Cache;6342;6339
2297752;Cobblestone;6342;6339
2297753;Cache;6195;6341
2297753;Cobblestone;6195;6341
2297754;Cobblestone;5978;5258
2297754;Mirage;5978;5258
2297754;Dust2;5978;5258
2297755;Dust2;6109;4863
2297755;Mirage;6109;4863
2297755;Cache;6109;4863
2297773;Mirage;5422;6222
2297773;Cobblestone;5422;6222
2297774;Cobblestone;5208;6324
2297774;Mirage;5208;6324
2297775;Cache;4548;6343
2297775;Dust2;4548;6343
2297776;Cobblestone;5395;6287
2297776;Cache;5395;6287
2297776;Inferno;5395;6287
2297777;Overpass;6137;6138
2297777;Mirage;6137;6138
2297778;Cache;5599;6344
2297778;Dust2;5599;6344
2297778;Mirage;5599;6344
2297779;Dust2;5929;5569
2297779;Cobblestone;5929;5569
2297779;Cache;5929;5569
2297780;Inferno;5310;4591
2297780;Overpass;5310;4591
2297780;Train;5310;4591
2297793;Inferno;6195;6339
2297793;Mirage;6195;6339
2297794;Inferno;5978;4863
2297794;Mirage;5978;4863
2297796;Cache;6343;6344
2297797;Mirage;6137;5599
2297797;Cobblestone;6137;5599
2297799;Overpass;5208;6222
2297799;Cobblestone;5208;6222
2297801;Overpass;5422;4591
2297802;Cobblestone;6195;5978
2297802;Inferno;6195;5978
2297803;Inferno;6347;6348
2297803;Mirage;6347;6348
2297795;Mirage;4548;5395
2297795;Cache;4548;5395
2297795;Overpass;4548;5395
2297798;Train;6138;6287
2297800;Cache;6324;5929
2297804;Overpass;5310;5569
2297804;Dust2;5310;5569
2297789;Dust2;6191;6132
2297789;Inferno;6191;6132
2297789;Cache;6191;6132
2297790;Overpass;6117;6239
2297790;Cache;6117;6239
2297790;Cobblestone;6117;6239
2297805;Mirage;6344;5422
2297806;Cache;6287;5929
2297807;Dust2;6105;5984
2297807;Cobblestone;6105;5984
2297808;Cache;5310;6137
2297808;Train;5310;6137
2297751;Mirage;6318;6213
2297751;Dust2;6318;6213
2297751;Inferno;6318;6213
2297792;Train;6261;6132
2297792;Dust2;6261;6132
2297809;Cobblestone;6222;4548
2297809;Mirage;6222;4548
2297810;Mirage;6348;6105
2297810;Cache;6348;6105
2297810;Dust2;6348;6105
2297791;Cobblestone;6334;6117
2297791;Cache;6334;6117
2297791;Dust2;6334;6117
2297788;Cobblestone;5974;6290
2297788;Train;5974;6290
2297788;Cache;5974;6290
2297782;Dust2;6134;6226
2297782;Inferno;6134;6226
2297813;Inferno;6261;6334
2297813;Train;6261;6334
2297813;Dust2;6261;6334
2297815;Train;6290;6261
2297815;Overpass;6290;6261
2297815;Inferno;6290;6261
2297816;Overpass;5974;6290
2297816;Mirage;5974;6290
2297816;Cobblestone;5974;6290
2297784;Mirage;4608;6127
2297784;Dust2;4608;6127
2297785;Mirage;5378;6266
2297785;Dust2;5378;6266
2297783;Overpass;4494;5284
2297783;Cobblestone;4494;5284
2297823;Dust2;5093;6302
2297823;Mirage;5093;6302
2297823;Overpass;5093;6302
2297811;Cache;6094;6237
2297811;Mirage;6094;6237
2297818;Cache;6260;6114
2297812;Mirage;6138;4682
2297812;Dust2;6138;4682
2297819;Overpass;4554;5617
2297824;Mirage;6134;4608
2297824;Dust2;6134;4608
2297824;Inferno;6134;4608
2297814;Mirage;6167;6213
2297814;Train;6167;6213
2297826;Cache;5595;6324
2297826;Inferno;5595;6324
2297817;Cobblestone;6137;6245
2297817;Overpass;6137;6245
2297820;Dust2;4445;6298
2297821;Inferno;6297;6225
2297834;Overpass;5284;5378
2297834;Train;5284;5378
2297834;Inferno;5284;5378
2297827;Cache;6301;6292
2297827;Dust2;6301;6292
2297835;Dust2;4494;6266
2297825;Cache;6127;6226
2297846;Overpass;5378;6226
2297845;Cobblestone;4608;4494
2297839;Cache;5093;6324
